title,assigned_label,potential_labels
"Coronavirus state tracker: Hospitalizations in California continue to decline; 6,060 new cases and 144 new deaths reported as of Saturday",HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
It's not for me: Speed of Covid-19 vaccine race raises safety concerns,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
21-year-old Florida man recovers from organ failure after mild COVID-19 symptoms,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"BCG vaccine is safe, does not increase Covid risk: Study",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
'It's a bad situation': Inside the Greene County jail's COVID-19 outbreak,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Entertainment subscriptions soar in Australia during COVID-19 lockdowns,TECHNOLOGY,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Vaping linked to risk of COVID-19 in teens, young adults: Study",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
New study says Canadians see COVID vaccine as key to return to normal,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Customer gets nails done 2 days after testing positive for COVID-19 - Insider,TECHNOLOGY,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Pandemic motivating more parents to get their kids the flu shot, UBC study finds",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"COVID-19: Not All face masks prevent transmission, some increase chances of infection: Study",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Brevard man recovers from organ failure after mild COVID-19 symptoms,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"N.J. reports 378 new COVID-19 cases, 5 new deaths. Transmission rate falls again a week after spike.",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
TB vaccine research could benefit the elderly and diabetics,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Covid-19: Public warned against complacency after large rise in cases,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Embryos Could Be Vulnerable To COVID-19 In Second Week Of Pregnancy: Study,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Study: The best and worst face masks for preventing COVID-19 spread,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Study Identifies Long-term Symptoms In COVID-19 Patients,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Coronavirus spread: Tests reveal COVID-19 can spread through air,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Covid-19 vaccine tracker, August 11: $100 billion required to take vaccine to all, not even 10% raised, says WHO",TECHNOLOGY,"['HEALTH_NATION', 'SCIENCE_TECH']"
Surging COVID-19 Cases In Calaveras Get It Added To State’s List,HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
Coronavirus latest news: Obesity ‘raises risk of hospital admission for virus’,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"COVID-19 symptoms often appear in specific order, study says",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"COVID-19 patients with heart problems more likely to die, says study",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
New Zealand coronavirus outbreak ‘probably came from Britain or Australia’,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
COVID-19: Does the Novel Coronavirus Spread Through Food? Here Is What WHO Claims,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Coronavirus update: COVID-19 adds new uncertainty to campaign for White House, Vietnam turns Da Nang stadium into field hospital amid virus outbreak",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Half of COVID Patients Have Damage to This Vital Organ, New Study Says",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
This Is the Likely Order COVID-19 Symptoms Will Appear: Study,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Harvard researchers want less accurate tests for COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
How scientists aim to make a safe COVID-19 vaccine in record time,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"For a second straight day, no new local COVID-19 cases",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Fever, Cough, Muscle Pain: Scientists Decode Likely Order of Covid-19 Symptoms",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
This 21-year-old thought he had overcome a mild case of COVID-19. Then he went into organ failure.,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Covid-19 patients not showing symptoms may carry just as much virus as those who do, new study finds",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Government warnings 'ineffective' in battling COVID-19 misinformation,TECHNOLOGY,"['HEALTH_NATION', 'WORLD_NATION']"
Stress hair loss in COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Do not let your guard down: Researchers warn Covid patients who have recovered,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Additional $400,000 awarded for research projects focused on cardiovascular impact of COVID-19",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Andrew Lloyd Webber volunteers for COVID-19 vaccine study 'to prove theatres can re-open safely',HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Harvard researchers want more 'crappy' tests for COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Pasteurising human milk inactivates Covid-19 virus: Study,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Despite far fewer riders, suicide attempts remain significant problem on TTC network amid COVID-19, new records show",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"21-year-old Florida man recovers from mild COVID-19, then his organs began to fail",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Regeneron says COVID cocktail prevents, treats virus in animals",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
'We do not want to return to a time when parents had to worry their infant could die of meningitis': Some kids still await routine vaccinations during COVID,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"COVID-19 in South Dakota: 86 new positive cases; Death toll remains at 153; Active cases at 1,194",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"How do vaccines and immune systems work, and why could a coronavirus vaccine fail?",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Daily mouthwash can 'inactivate' COVID 19, says new study",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Digital Technology Supercluster completes $60m investment in COVID-19 program,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
ImmunityBio Study Shows Positive T Cell and Antibody Immune Responses to its COVID-19 Vaccine Candidate that Targets Both Spike and Nucleocapsid Virus Proteins | Vaccines | News Channels,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Novavax coronavirus vaccine could be available at start of next year,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
A Coronavirus Vaccine Is Not A Silver Bullet For Airline Demand Recovery,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Fever, cough, muscle pain: Scientists decode likely order of Covid symptoms",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Nasal flu vaccine will be available ahead of return to school - professor,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Hair loss: Is hair loss a symptom of COVID-19?,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"The Health Wrap: detailed update on coronavirus vaccine development, aged care and oral health – and an inspirational woman",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Decoded: How coronavirus attacks passengers on trains - Catching Covid-19 in a train,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Mildly ill COVID-19 patients can be discharged in nine or more days after symptom onset: Hong Kong study,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Demand for COVID-19 testing increasing as wait times in Ottawa rise,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Study suggests eating well in sustainable way more important during pandemic,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Bugsnax gets new gameplay trailer during Sony’s State of Play,TECHNOLOGY,"['SCIENCE_TECH', 'WORLD_NATION']"
"Study hints, can't prove, survivor plasma fights COVID-19",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
COVID-19 group chat: study uses mobile app to connect patients with doctors,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Tackling the bioethics challenges raised by COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Daily mouthwash may cut Covid transmission risk: Study,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Covid19 Misinformation Is Spreading Across 87 Countries, Costing Lives: Study",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Millions for new and more efficient Q fever vaccine research,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
US to make COVID-19 strain for possible human challenge trials,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"England's COVID-19 spread slows, Imperial College study shows",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Facebook?s dilemma: How to police claims about unproven COVID-19 vaccines,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Russia plans to register maiden COVID vaccine this week - Sentinelassam,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Early Covid-19 Spread Greater Than Initially Reported, Disease Was Far More Widespread in Wuhan: Study",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Hygiene fears at Northern Ireland hospital as patient raises alarm over 'filthy' conditions,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Alcoholism drug may help in fight against COVID-19, study says",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Research Hints Survivor Plasma Fights COVID-19- But More Proof Needed,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Associations of type 1 and type 2 diabetes with COVID-19-related mortality in England: a whole-population study,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
NIH to leverage AI and medical imaging for open-source COVID-19 database,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Global recovery could be faster if COVID vaccine made available to all: WHO chief,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Thursday Covid-19 death toll raised to four | News | ekathimerini.com,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"US tops 5 million Covid-19 cases, with five states making up more than 40% of tally",HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
Most NHS Leaders Lack Faith in U.K. Government Testing Strategy,HEALTH,"['SCIENCE_TECH', 'WORLD_NATION']"
This 21-year-old thought he had overcome a mild case of Covid-19. Then he went into organ failure,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Alyssa Milano demonstrates hair loss as she pushes back against COVID-19 critics,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
PAHO supporting Latin America & the Caribbean in fight against COVID,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Facebook’s dilemma: How to police claims about unproven COVID-19 vaccines,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"The forgotten killers: Covid-19 destroying gains made in the fight against malaria, TB",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
High altitude may act as a protective factor against COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Queensland health authorities cautiously optimistic the state has avoided COVID-19 spread from Brisbane coronavirus cluster,HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
How to police claims about unproven COVID-19 vaccines By Reuters,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Cases of dog biting children 'surge' during COVID-19, study shows",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Exactly how Leeds compares to Manchester and Bradford in fight against Covid,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Surge in Spain's virus cases prompts regional smoking ban, field hospital",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Today's coronavirus news: Canada makes deal with Pfizer, Moderna for coronavirus vaccine; Ontario reports fewer than 100 cases for third straight day",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Exposure to air pollution may increase risk of Covid death: study,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Researchers to study inhaled sedatives for severe Covid-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Global cooperation is our only choice against COVID-19, says WHO chief",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
College Students Need to be Tested for Covid-19 in Every 2-3 Days: Researchers,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Coronavirus: the pandemic is changing our brains – here are the remedies,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Surging COVID-19 Cases In Calaveras Get It Added To State's List,HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
"Nausea, fever, now hair loss? COVID-19 stress causing female survivors to lose hair, doctors say",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Only ONE healthy child has been killed by Covid-19 in Britain, reveals study",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
National Q Fever Taskforce welcomes government investment in new Q fever vaccine,HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
Covid-19 treatment: Scientists use AI to identify hundreds of drug candidates,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Researchers to study inhaled sedatives for severe COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Regeneron antibody cocktail shows promise as potential COVID-19 treatment,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"UPDATE 2-French COVID-19 infections spike, but no strain on hospitals",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Coronavirus long-term impact: Survey reports shocking hair loss in COVID-19 patients,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
EXPLAINER-When will a coronavirus vaccine be ready?,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
New study suggests COVID-19 cases in Ontario much higher than reported,SCIENCE,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Scientists Identify Potential Drug Candidate Against Covid-19, Stops Virus from Replicating in Host Cells",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Researchers have discovered the possible order where COVID-19 symptoms appear,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
COVID-19 laboratory tests explained after false positive test,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
A photonic device comes to the aid of COVID-19 patients,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Research casts doubt on use of some 'nudges' during Covid-19 outbreak,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Researchers find clues to why Covid-19 affects patients so differently,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"BCG vaccine, used for TB prevention is safe, does not increase COVID-19 risk, finds study",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Turkey's COVID-19 cases rise slightly in line with record new testing rate | Daily Sabah,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Researchers working on COVID-19 antibody trial,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Embryos could be susceptible to Covid-19 from second week of pregnancy, study finds",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Explainer: What we know about possible COVID-19 transmission from freight and packages,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Will we ever travel again? Researcher aims to help countries make better decisions about closing borders during COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Researchers to study inhaled sedatives for severe Covid-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Over Half of Mumbai's Slum Residents May Have Had Covid-19. Here's Why Herd Immunity Could Still be Far A...,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
The Wellness Professional Compared COVID-19 And AIDS Vaccine,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
New research finds mHealth technologies as a viable option to monitor COVID-19 patients,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Lab aims to speed up COVID-19 testing in California,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
BoU maintains lending rate at 7% amid sluggish economic recovery over COVID-19,TECHNOLOGY,"['HEALTH_NATION', 'SCIENCE_TECH']"
Global recovery will come faster if COVID vaccine available to all -WHO,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
COVID-19 claims the lives of two more Quad-Citians,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Community-based sampling needed for COVID-19 control, say researchers",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
China study warns of possible new 'pandemic virus' from pigs,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Study hints, can’t prove, survivor plasma fights COVID-19",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Researchers explore how Covid-19 infects lungs,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Vic government in COVID aged care takeover,HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
Covid-19 linked diseases in children causing changes in blood cells: Study,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
University of Minnesota turns natural killer cells against COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Vaccine nationalism: Experts warn countries against taking 'me-first' approach,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Fury as passenger travelling to Dublin Airport shows COVID-19 symptoms mid-flight but rest of plane enter country,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Researchers find 6 sets of coronavirus symptoms, could help determine which patients need hospitalization",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
UK may face second wave of Covid-19 in winter: Study,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"COVID-19: These Are Symptoms You Will Be Most Likely Get First, New Research Reveals",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
SA researchers warn of delayed danger in children with COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Tributes paid to woman (32) who died of Covid-19 in Co Antrim,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Swiss government signs agreement with Moderna for COVID-19 vaccine,HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
Albuquerque research institute to begin human trials for COVID-19 vaccine,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Locking down shape-shifting spike protein aids development of COVID-19 vaccine,SCIENCE,"['HEALTH_NATION', 'SCIENCE_TECH']"
Ticks and mosquitoes may await the pandemic-weary seeking outdoor exercise,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
More than half of Mumbai's slum residents might have had Covid-19. Here's why herd immunity could still be a long way off,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Nasal spray could offer protection against COVID-19: scientists,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Bahrain Ministry of Health: Registration open for third phase of clinical trial for Covid-19 vaccine,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Tipperary mushroom plant remains closed as 29 Covid-19 cases have been identified,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"High BMI linked to Covid-19 death risk, especially in men: Study",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
As frontline staff... It's unfair the way we are now out without any pay' - meat plant worker reveals impact of Covid,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Executive War College Discusses Distress of Clinical Laboratory Industry as COVID-19 Pandemic Disrupts Supply Chain and Health Insurers Deny Payment for SARS-CoV-2 Tests,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Antibiotic administration prevalent in COVID-19 patients with no bacterial infection: Study,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"August 10, 2020: Daily COVID-19 Update from Chief Medical Officer of Health",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Chinese COVID-19 vaccine shows promising trial results: research paper,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
UK might scrap their COVID-19 daily death count,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
German institute says Covid-19 vaccine could be available in autumn,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
US failure to stem spread of COVID-19 alarms Europe,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
REFILE-Vietnam health ministry to buy Russian COVID-19 vaccine -state media,HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
WATCH: 'Charmed' actress shows hair loss 'caused by COVID-19',HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Bird flu outbreak confirmed on second Golden Plains Shire free-range egg farm, prompting warning for producers",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Vaping linked to higher COVID-19 risk in young adults: Study,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Kaiser to launch Phase 3 testing of coronavirus vaccine in 1,400 California and Oregon adults",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Moderna Says Uncertain About Coronavirus Vaccine Patent Exclusivity,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Another COVID-19 cluster reported among Maine blueberry workers,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Tony Blair: Mass testing of population for COVID-19 essential to prevent second lockdown,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
This Is the Likely Order COVID-19 Symptoms Will Appear: Study,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
SA to launch second COVID-19 vaccine study in Africa - Prof Shabir Madhi,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
China's lead in coronavirus vaccines raises concern as well as hope,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Calls for government to intervene amid 'gross mismanagement' at hospitals,HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
"Dogs can be trained to detect COVID-19, claims study",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Study shows face coverings in public helps mitigate spread of COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Covid-19 travel restrictions devastate Africa's tourism,WORLD,"['HEALTH_NATION', 'WORLD_NATION']"
COVID-19 Detecting Sniffer Dogs Deployed at Dubai International Airport,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Top Researchers Identify 73 Variants Of COVID-19 Strain In Odisha,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
HSE confirms the number of complaints made about COVID-19 testing system,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Coronavirus pandemic: Romania introduces 14-day quarantine for travelers from Spain,WORLD,"['HEALTH_NATION', 'SCIENCE_TECH']"
Why do HIV vaccine trials keep failing?,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Generic BCG Vaccine Could Be Effective Against COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Remote work from home during coronavirus pandemic hurts collaboration, innovation",TECHNOLOGY,"['HEALTH_NATION', 'SCIENCE_TECH']"
Face mask study reveals worst material for blocking COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
COVID-19 stoush keeps detainee in limbo,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Radiation therapy delay for prostate cancer patients offers room for flexibility during the pandemic,HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
New study identifies the order of symptom appearance in COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Regeneron says antibody cocktail prevents and treats COVID-19 in animals,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"This Covid-19 test yields 100% accurate result in 20 minutes, claim scientists",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
New Study On COVID-19 Symptoms Promises Big Help To Doctors,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Young Australians targeted in government's new COVID-19 ad campaign,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH', 'WORLD_NATION']"
Mutated coronavirus strain spreads beyond the United States to Southeast Asia,HEALTH,"['SCIENCE_TECH', 'WORLD_NATION']"
Major antibody study finds 3.4M in England had COVID-19,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
A COVID-19 Market Analysis For Sustainability & Safety Professionals – Press Releases on CSRwire.com,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
