,entropy,articles,risk
wutc.org,0.0,1,HIGH
wunc.org,0.0,1,HIGH
yaktrinews.com,0.0,1,HIGH
y108.ca,0.0,1,HIGH
xxlmag.com,0.0,7,HIGH
xflnewshub.com,0.0,1,HIGH
xda-developers.com,0.0,151,HIGH
airdrietoday.com,0.0,1,HIGH
almasdarnews.com,0.0,1,HIGH
allucanheat.com,0.0,1,HIGH
allkpop.com,0.0,110,HIGH
allindiaroundup.com,0.0,1,HIGH
allaboutcircuits.com,0.0,1,HIGH
wuwm.com,0.0,2,HIGH
texomashomepage.com,0.0,1,HIGH
albanyherald.com,0.0,1,HIGH
amp.cnn.com,0.0,1,HIGH
amp.cinemablend.com,0.0,1,HIGH
amp.brisbanetimes.com.au,0.0,1,HIGH
amp.abc.net.au,0.0,1,HIGH
amnews.com,0.0,1,HIGH
amnesty.org.uk,0.0,1,HIGH
americaspeaksink.com,0.0,1,HIGH
americasbestracing.net,0.0,1,HIGH
tennis-tourtalk.com,0.0,1,HIGH
telugucinema.com,0.0,6,HIGH
news.uchicago.edu,0.0,1,HIGH
theasset.com,0.0,1,HIGH
theartsdesk.com,0.0,1,HIGH
thearticle.com,0.0,1,HIGH
thearabweekly.com,0.0,1,HIGH
androidheadlines.com,0.0,5,HIGH
androidcommunity.com,0.0,4,HIGH
news.torfx.com,0.0,15,HIGH
android.gadgethacks.com,0.0,1,HIGH
andhrawishesh.com,0.0,1,HIGH
ancient-origins.net,0.0,1,HIGH
anandtech.com,0.0,22,HIGH
amsterdamnews.com,0.0,1,HIGH
amp.radio.com,0.0,1,HIGH
xconomy.com,0.0,6,HIGH
wyomingpublicmedia.org,0.0,1,HIGH
wyomingnews.com,0.0,1,HIGH
wymt.com,0.0,1,HIGH
algosonline.com,0.0,4,HIGH
alertcarolina.unc.edu,0.0,1,HIGH
albertonrecord.co.za,0.0,1,HIGH
apollo-magazine.com,0.0,1,HIGH
apnnews.com,0.0,1,HIGH
apg-wi.com,0.0,1,HIGH
antimusic.com,0.0,2,HIGH
anitrendz.net,0.0,1,HIGH
armidaleexpress.com.au,0.0,2,HIGH
armenpress.am,0.0,1,HIGH
armaghi.com,0.0,1,HIGH
arlnow.com,0.0,1,HIGH
arkansasonline.com,0.0,1,HIGH
americanbanker.com,0.0,1,HIGH
amazinavenue.com,0.0,1,HIGH
alzheimersnewstoday.com,0.0,1,HIGH
altpress.com,0.0,1,HIGH
altfi.com,0.0,1,HIGH
angelusnews.com,0.0,1,HIGH
architectureanddesign.com.au,0.0,2,HIGH
archaeology.org,0.0,1,HIGH
araratadvertiser.com.au,0.0,8,HIGH
aseaofblue.com,0.0,2,HIGH
asahi.com,0.0,2,HIGH
arunachaltimes.in,0.0,1,HIGH
artsy.net,0.0,6,HIGH
artnews.com,0.0,8,HIGH
artforum.com,0.0,2,HIGH
art-critique.com,0.0,2,HIGH
arsenaltruefans.com,0.0,2,HIGH
arrowheadpride.com,0.0,12,HIGH
apstersmedia.com,0.0,2,HIGH
appuals.com,0.0,1,HIGH
apptrigger.com,0.0,7,HIGH
applemagazine.com,0.0,1,HIGH
army-technology.com,0.0,1,HIGH
asumetech.com,0.0,1,HIGH
astrobiology.com,0.0,6,HIGH
astamfordbridgetoofar.com,0.0,4,HIGH
associatestimes.com,0.0,1,HIGH
aspendailynews.com,0.0,1,HIGH
asktraders.com,0.0,1,HIGH
asiatraveltips.com,0.0,1,HIGH
asianews.it,0.0,1,HIGH
asianaviation.com,0.0,1,HIGH
asiainsurancereview.com,0.0,1,HIGH
aseaofred.com,0.0,1,HIGH
arkansas.rivals.com,0.0,2,HIGH
areanews.com.au,0.0,4,HIGH
arctic.ru,0.0,1,HIGH
architecturenow.co.nz,0.0,1,HIGH
au.motorsport.com,0.0,7,HIGH
au.eurosport.com,0.0,5,HIGH
attitude.co.uk,0.0,1,HIGH
attackofthefanboy.com,0.0,1,HIGH
ats.io,0.0,1,HIGH
atptour.com,0.0,31,HIGH
wsoctv.com,0.0,2,HIGH
wsls.com,0.0,2,HIGH
www1.racgp.org.au,0.0,5,HIGH
news.thomasnet.com,0.0,1,HIGH
wwmt.com,0.0,1,HIGH
wwlp.com,0.0,5,HIGH
wwe.com,0.0,4,HIGH
ww2.health.wa.gov.au,0.0,1,HIGH
arrl.org,0.0,1,HIGH
arpost.co,0.0,1,HIGH
wvtf.org,0.0,1,HIGH
wvmetronews.com,0.0,1,HIGH
wvlt.tv,0.0,1,HIGH
atlas.cern,0.0,2,HIGH
atholdailynews.com,0.0,1,HIGH
athleticsnation.com,0.0,4,HIGH
asunow.asu.edu,0.0,1,HIGH
technowize.com,0.0,1,HIGH
tellymix.co.uk,0.0,2,HIGH
tellychakkar.com,0.0,15,HIGH
television.mxdwn.com,0.0,1,HIGH
telemediaonline.co.uk,0.0,1,HIGH
telecomtv.com,0.0,1,HIGH
telecomstechnews.com,0.0,1,HIGH
telecomlead.com,0.0,1,HIGH
au.pcmag.com,0.0,39,HIGH
the-daily-record.com,0.0,1,HIGH
thaiexaminer.com,0.0,2,HIGH
autocar.co.nz,0.0,9,HIGH
auto123.com,0.0,1,HIGH
australianmining.com.au,0.0,1,HIGH
ausopen.com,0.0,1,HIGH
ausgamers.com,0.0,16,HIGH
ausdroid.net,0.0,23,HIGH
auntminnieeurope.com,0.0,1,HIGH
aumanufacturing.com.au,0.0,1,HIGH
auburn.rivals.com,0.0,1,HIGH
azbigmedia.com,0.0,1,HIGH
awn.com,0.0,1,HIGH
awfulannouncing.com,0.0,3,HIGH
awesemo.com,0.0,7,HIGH
avweb.com,0.0,1,HIGH
prudentpressagency.com,0.0,2,HIGH
prrecordgazette.com,0.0,2,HIGH
qpr.co.uk,0.0,1,HIGH
aviationweek.com,0.0,1,HIGH
aviation24.be,0.0,1,HIGH
avclub.com,0.0,2,HIGH
autosport.com,0.0,61,HIGH
autospies.com,0.0,1,HIGH
autoguide.com,0.0,1,HIGH
bakeryandsnacks.com,0.0,1,HIGH
bakemag.com,0.0,1,HIGH
badlefthook.com,0.0,4,HIGH
backstage.com,0.0,2,HIGH
backendnews.net,0.0,1,HIGH
azorobotics.com,0.0,1,HIGH
azoquantum.com,0.0,6,HIGH
thebusinessdesk.com,0.0,1,HIGH
thebusbybabe.sbnation.com,0.0,5,HIGH
thedailystar.net,0.0,2,HIGH
thedailynewsonline.com,0.0,1,HIGH
thedailyjournal.com,0.0,1,HIGH
thedailyherald.sx,0.0,2,HIGH
rangers.vitalfootball.co.uk,0.0,1,HIGH
randburgsun.co.za,0.0,1,HIGH
ramblinwreck.com,0.0,1,HIGH
raisevegan.com,0.0,1,HIGH
railwaysafrica.com,0.0,1,HIGH
raiderswire.usatoday.com,0.0,1,HIGH
radiox.co.uk,0.0,1,HIGH
pulitzercenter.org,0.0,1,HIGH
publicradiotulsa.org,0.0,1,HIGH
prwire.com.au,0.0,1,HIGH
techpp.com,0.0,2,HIGH
bandt.com.au,0.0,3,HIGH
banburycake.co.uk,0.0,1,HIGH
bamsmackpow.com,0.0,1,HIGH
bamahammer.com,0.0,2,HIGH
baltimore.cbslocal.com,0.0,1,HIGH
baltic-review.com,0.0,1,HIGH
battingwithbimal.com,0.0,4,HIGH
azooptics.com,0.0,1,HIGH
azonano.com,0.0,1,HIGH
azom.com,0.0,2,HIGH
azocleantech.com,0.0,2,HIGH
bankrate.com,0.0,3,HIGH
bankingdive.com,0.0,1,HIGH
bandwagon.asia,0.0,2,HIGH
thebuzzpaper.com,0.0,1,HIGH
barossaherald.com.au,0.0,5,HIGH
bard.edu,0.0,1,HIGH
barcablaugranes.com,0.0,45,HIGH
barbend.com,0.0,1,HIGH
banyanhill.com,0.0,2,HIGH
bcm.edu,0.0,1,HIGH
bckonline.com,0.0,1,HIGH
bcfc.co.uk,0.0,1,HIGH
bbherald.com,0.0,1,HIGH
bbcamerica.com,0.0,1,HIGH
wrexham.com,0.0,1,HIGH
thedailycitizen.com,0.0,1,HIGH
13newsnow.com,0.0,1,HIGH
thecricketer.com,0.0,5,HIGH
thecragandcanyon.ca,0.0,1,HIGH
techquila.co.in,0.0,2,HIGH
wtvy.com,0.0,1,HIGH
wtvr.com,0.0,1,HIGH
wtrf.com,0.0,1,HIGH
wtmj.com,0.0,2,HIGH
wtkr.com,0.0,1,HIGH
wthr.com,0.0,2,HIGH
wtatennis.com,0.0,1,HIGH
baystreet.ca,0.0,2,HIGH
bayshorebroadcasting.ca,0.0,2,HIGH
baynews9.com,0.0,1,HIGH
bavarianfootballworks.com,0.0,26,HIGH
batemansbaypost.com.au,0.0,1,HIGH
basketball.realgm.com,0.0,29,HIGH
baseline.tennis.com,0.0,1,HIGH
barryanddistrictnews.co.uk,0.0,1,HIGH
barrietoday.com,0.0,4,HIGH
behindthebuckpass.com,0.0,1,HIGH
beefcentral.com,0.0,1,HIGH
beebom.com,0.0,8,HIGH
bedfordindependent.co.uk,0.0,1,HIGH
bedfordgazette.com,0.0,1,HIGH
beautypageants.indiatimes.com,0.0,1,HIGH
beautypackaging.com,0.0,1,HIGH
beaumontenterprise.com,0.0,1,HIGH
beaconjournal.com,0.0,2,HIGH
beachgrit.com,0.0,1,HIGH
bdtonline.com,0.0,1,HIGH
bdtechtalks.com,0.0,1,HIGH
wrestlingrumors.net,0.0,1,HIGH
wrestlingnews.co,0.0,6,HIGH
wrestlinginc.com,0.0,47,HIGH
wrestling-world.com,0.0,1,HIGH
bestclassicbands.com,0.0,1,HIGH
13abc.com,0.0,1,HIGH
bereamail.co.za,0.0,2,HIGH
benzinsider.com,0.0,1,HIGH
bengalswire.usatoday.com,0.0,3,HIGH
bendigoadvertiser.com.au,0.0,2,HIGH
benarnews.org,0.0,2,HIGH
belsat.eu,0.0,1,HIGH
bellingencourier.com.au,0.0,7,HIGH
bicycleretailer.com,0.0,2,HIGH
bicesteradvertiser.net,0.0,1,HIGH
bhpioneer.com,0.0,1,HIGH
bhg.com.au,0.0,1,HIGH
belarusdigest.com,0.0,1,HIGH
beinsports.com,0.0,17,HIGH
behindthesteelcurtain.com,0.0,8,HIGH
bgdailynews.com,0.0,1,HIGH
beveragedaily.com,0.0,1,HIGH
betting.betfair.com,0.0,1,HIGH
betterdwelling.com,0.0,4,HIGH
bethesdamagazine.com,0.0,1,HIGH
12newsnow.com,0.0,1,HIGH
betakit.com,0.0,1,HIGH
beta.canada.com,0.0,1,HIGH
bet.com,0.0,7,HIGH
biopharma-reporter.com,0.0,1,HIGH
biometricupdate.com,0.0,4,HIGH
biofuels-news.com,0.0,1,HIGH
billswire.usatoday.com,0.0,3,HIGH
billingsgazette.com,0.0,3,HIGH
bestnewsmonitoring.com,0.0,21,HIGH
bestlifeonline.com,0.0,8,HIGH
rap-up.com,0.0,11,HIGH
rangersnews.uk,0.0,14,HIGH
bikewale.com,0.0,1,HIGH
bigtop40.com,0.0,1,HIGH
bigeasymagazine.com,0.0,2,HIGH
bigbrothernetwork.com,0.0,17,HIGH
bigblueview.com,0.0,3,HIGH
bicyclingaustralia.com.au,0.0,1,HIGH
bjpenn.com,0.0,6,HIGH
bizedge.co.nz,0.0,5,HIGH
bizcommunity.com,0.0,2,HIGH
bizasialive.com,0.0,2,HIGH
biv.com,0.0,2,HIGH
bitterandblue.sbnation.com,0.0,2,HIGH
bitemagazine.com.au,0.0,1,HIGH
bgr.in,0.0,23,HIGH
blackwhitereadallover.com,0.0,7,HIGH
blackstarnews.com,0.0,1,HIGH
prohockeyrumors.com,0.0,5,HIGH
progolfnow.com,0.0,1,HIGH
profootballtalk.nbcsports.com,0.0,51,HIGH
producer.com,0.0,1,HIGH
producebluebook.com,0.0,1,HIGH
punditarena.com,0.0,10,HIGH
pulsetoday.co.uk,0.0,2,HIGH
pulse2.com,0.0,1,HIGH
racer.com,0.0,12,HIGH
racenet.com.au,0.0,47,HIGH
racefans.net,0.0,19,HIGH
queenslandcountrylife.com.au,0.0,3,HIGH
quattrodaily.com,0.0,4,HIGH
quantamagazine.org,0.0,2,HIGH
techlife.news,0.0,1,HIGH
techlicious.com,0.0,1,HIGH
techjaja.com,0.0,8,HIGH
techinafrica.com,0.0,1,HIGH
techhive.com,0.0,9,HIGH
bitcoinke.io,0.0,1,HIGH
bit-tech.net,0.0,3,HIGH
bismarcktribune.com,0.0,3,HIGH
bis.org,0.0,1,HIGH
biospectrumindia.com,0.0,1,HIGH
blockclubchicago.org,0.0,1,HIGH
blessyouboys.com,0.0,2,HIGH
bleedinggreennation.com,0.0,1,HIGH
bleachernation.com,0.0,32,HIGH
blayneychronicle.com.au,0.0,6,HIGH
blamefootball.com,0.0,1,HIGH
thecatholictelegraph.com,0.0,2,HIGH
bluemountainsgazette.com.au,0.0,4,HIGH
bluemountaineagle.com,0.0,9,HIGH
bluemanhoop.com,0.0,2,HIGH
bluebirdbanter.com,0.0,14,HIGH
bloncampus.thehindubusinessline.com,0.0,1,HIGH
bordertelegraph.com,0.0,1,HIGH
blackshoediaries.com,0.0,4,HIGH
blabbermouth.net,0.0,5,HIGH
bnamericas.com,0.0,1,HIGH
bmj.com,0.0,13,HIGH
bmcnutr.biomedcentral.com,0.0,2,HIGH
blueshirtbanter.com,0.0,2,HIGH
blueprint.ng,0.0,1,HIGH
technewstoday.com,0.0,1,HIGH
technave.com,0.0,3,HIGH
11alive.com,0.0,1,HIGH
112.international,0.0,4,HIGH
boisestatepublicradio.org,0.0,1,HIGH
bodyandsoul.com.au,0.0,6,HIGH
boatinternational.com,0.0,1,HIGH
bnonews.com,0.0,1,HIGH
braidwoodtimes.com.au,0.0,4,HIGH
bradfordtoday.ca,0.0,8,HIGH
bradfordera.com,0.0,1,HIGH
bozemandailychronicle.com,0.0,1,HIGH
boxscorenews.com,0.0,1,HIGH
boxingscene.com,0.0,5,HIGH
techzimo.com,0.0,1,HIGH
techtrendske.co.ke,0.0,16,HIGH
2merkato.com,0.0,2,HIGH
techraptor.net,0.0,1,HIGH
bowenislandundercurrent.com,0.0,4,HIGH
wpsdlocal6.com,0.0,1,HIGH
wpde.com,0.0,1,HIGH
wpbf.com,0.0,1,HIGH
wskg.org,0.0,1,HIGH
wsiltv.com,0.0,2,HIGH
wsgw.com,0.0,1,HIGH
wsbt.com,0.0,1,HIGH
wsbradio.com,0.0,1,HIGH
wsaz.com,0.0,1,HIGH
wsav.com,0.0,1,HIGH
wrvo.org,0.0,1,HIGH
boston.cbslocal.com,0.0,1,HIGH
boorowanewsonline.com.au,0.0,2,HIGH
bonappetit.com,0.0,1,HIGH
bombalatimes.com.au,0.0,4,HIGH
project-syndicate.org,0.0,1,HIGH
bridgwatermercury.co.uk,0.0,2,HIGH
bridgemi.com,0.0,1,HIGH
brewcrewball.com,0.0,3,HIGH
breakingisraelnews.com,0.0,1,HIGH
breakingdefense.com,0.0,1,HIGH
bravotv.com,0.0,8,HIGH
brantfordexpositor.ca,0.0,6,HIGH
brandonsun.com,0.0,3,HIGH
brandequity.economictimes.indiatimes.com,0.0,1,HIGH
brandchannel.com,0.0,1,HIGH
braintreeandwithamtimes.co.uk,0.0,1,HIGH
brainerddispatch.com,0.0,1,HIGH
broadwayworld.com,0.0,1,HIGH
broadway.com,0.0,1,HIGH
broadstreethockey.com,0.0,3,HIGH
bucswire.usatoday.com,0.0,1,HIGH
bucsnation.com,0.0,2,HIGH
buckeyeswire.usatoday.com,0.0,1,HIGH
bttoronto.ca,0.0,1,HIGH
prideofdetroit.com,0.0,5,HIGH
pri.org,0.0,2,HIGH
preventionweb.net,0.0,1,HIGH
presstelegram.com,0.0,1,HIGH
pressreels.com,0.0,1,HIGH
prowrestlingsheet.com,0.0,1,HIGH
prowrestling.com,0.0,1,HIGH
provokemedia.com,0.0,1,HIGH
propertyreporter.co.uk,0.0,1,HIGH
prolificnorth.co.uk,0.0,2,HIGH
prokerala.com,0.0,2,HIGH
projectspurs.com,0.0,1,HIGH
wqad.com,0.0,1,HIGH
wptavern.com,0.0,4,HIGH
btcmanager.com,0.0,1,HIGH
bt.com,0.0,30,HIGH
broncoswire.usatoday.com,0.0,1,HIGH
broadsheet.com.au,0.0,2,HIGH
broadcastcover.com,0.0,1,HIGH
brila.net,0.0,2,HIGH
brightsideofthesun.com,0.0,3,HIGH
brighterkashmir.com,0.0,1,HIGH
bridportnews.co.uk,0.0,2,HIGH
bundabergnow.com,0.0,2,HIGH
bunburymail.com.au,0.0,5,HIGH
2gb.com,0.0,1,HIGH
bulatlat.com,0.0,1,HIGH
buffalo.edu,0.0,1,HIGH
burlingtoncountytimes.com,0.0,1,HIGH
bunkerspot.com,0.0,1,HIGH
bundesliga.com,0.0,10,HIGH
businessworld.ie,0.0,2,HIGH
businesswireindia.com,0.0,1,HIGH
businesstraveller.com,0.0,18,HIGH
businesstravelerusa.com,0.0,1,HIGH
world.wng.org,0.0,1,HIGH
world-nuclear-news.org,0.0,1,HIGH
world-grain.com,0.0,1,HIGH
workers.org,0.0,1,HIGH
wreg.com,0.0,2,HIGH
wrdw.com,0.0,1,HIGH
wrbl.com,0.0,1,HIGH
wralsportsfan.com,0.0,5,HIGH
wqow.com,0.0,1,HIGH
ca.movies.yahoo.com,0.0,3,HIGH
c21media.net,0.0,2,HIGH
c-mw.net,0.0,1,HIGH
techdirt.com,0.0,2,HIGH
techbuzzireland.com,0.0,2,HIGH
techbeacon.com,0.0,2,HIGH
techarim.com,0.0,1,HIGH
techaeris.com,0.0,1,HIGH
brokernews.com.au,0.0,1,HIGH
businessgreen.com,0.0,1,HIGH
businessamlive.com,0.0,1,HIGH
business.itbusinessnet.com,0.0,2,HIGH
business.com,0.0,1,HIGH
business-live.co.uk,0.0,2,HIGH
burytimes.co.uk,0.0,1,HIGH
buro247.sg,0.0,1,HIGH
technologyrecord.com,0.0,2,HIGH
technewsworld.com,0.0,1,HIGH
bvbbuzz.com,0.0,3,HIGH
buyassociation.co.uk,0.0,1,HIGH
busseltonmail.com.au,0.0,3,HIGH
cagesideseats.com,0.0,8,HIGH
wolfstreet.com,0.0,1,HIGH
wokv.com,0.0,1,HIGH
wnyt.com,0.0,1,HIGH
wnep.com,0.0,1,HIGH
wowt.com,0.0,1,HIGH
worldview.stratfor.com,0.0,1,HIGH
businessnewsaus.com.au,0.0,1,HIGH
businessmanchester.co.uk,0.0,1,HIGH
businessjetinteriorsinternational.com,0.0,1,HIGH
ca.nba.com,0.0,22,HIGH
princegeorgecitizen.com,0.0,2,HIGH
worldsoccertalk.com,0.0,2,HIGH
worldsbk.com,0.0,1,HIGH
worldoil.com,0.0,18,HIGH
worldboxingnews.net,0.0,1,HIGH
ca.travelpulse.com,0.0,1,HIGH
cancerletter.com,0.0,1,HIGH
canbynowpod.com,0.0,1,HIGH
canadianpackaging.com,0.0,1,HIGH
canadianminingjournal.com,0.0,1,HIGH
canada.constructconnect.com,0.0,1,HIGH
campaignme.com,0.0,1,HIGH
camerajabber.com,0.0,7,HIGH
camdenchat.com,0.0,4,HIGH
camdenadvertiser.com.au,0.0,4,HIGH
technosports.co.in,0.0,6,HIGH
tbrfootball.com,0.0,92,HIGH
taxscan.in,0.0,1,HIGH
tatler.com,0.0,18,HIGH
tasteofcountry.com,0.0,2,HIGH
pressperiodical.com,0.0,1,HIGH
pressenza.com,0.0,2,HIGH
pressandjournal.co.uk,0.0,4,HIGH
27east.com,0.0,1,HIGH
premiumbeautynews.com,0.0,1,HIGH
premiershiprugby.com,0.0,1,HIGH
poz.com,0.0,3,HIGH
powernationtv.com,0.0,1,HIGH
powermag.com,0.0,1,HIGH
poundsterlinglive.com,0.0,9,HIGH
proactiveinvestors.com.au,0.0,1,HIGH
princerupertstower.com,0.0,7,HIGH
capsulecomputers.com.au,0.0,1,HIGH
capjournal.com,0.0,1,HIGH
wlox.com,0.0,1,HIGH
wlos.com,0.0,2,HIGH
wlky.com,0.0,1,HIGH
capitalcurrent.ca,0.0,1,HIGH
capital.com,0.0,1,HIGH
capecodtimes.com,0.0,1,HIGH
cantonrep.com,0.0,1,HIGH
canstarblue.com.au,0.0,1,HIGH
canpl.ca,0.0,1,HIGH
teamineos.com,0.0,1,HIGH
team-bhp.com,0.0,10,HIGH
tctmd.com,0.0,7,HIGH
tcnjsignal.net,0.0,1,HIGH
tc01.tellychakkar.com:8080,0.0,1,HIGH
capitalxtra.com,0.0,2,HIGH
capitalwatch.com,0.0,1,HIGH
capitalgazette.com,0.0,1,HIGH
capitalfm.com,0.0,3,HIGH
caspiannews.com,0.0,1,HIGH
casinoreports.ca,0.0,1,HIGH
casinobeats.com,0.0,4,HIGH
techguide.com.au,0.0,4,HIGH
techfinancials.co.za,0.0,1,HIGH
canescountry.com,0.0,1,HIGH
carlow-nationalist.ie,0.0,10,HIGH
carlist.my,0.0,3,HIGH
caredash.com,0.0,1,HIGH
cardiovascularbusiness.com,0.0,4,HIGH
caravanmagazine.in,0.0,1,HIGH
zerotackle.com,0.0,6,HIGH
cartermatt.com,0.0,2,HIGH
carsguide.com.au,0.0,5,HIGH
carltonfc.com.au,0.0,2,HIGH
carlowlive.ie,0.0,1,HIGH
cbs7.com,0.0,1,HIGH
cbs4local.com,0.0,1,HIGH
cbs46.com,0.0,1,HIGH
cbs2iowa.com,0.0,1,HIGH
cbs19news.com,0.0,1,HIGH
cbs12.com,0.0,1,HIGH
woodstocksentinelreview.com,0.0,1,HIGH
wonderwall.com,0.0,12,HIGH
womens.afl,0.0,5,HIGH
womansday.com,0.0,1,HIGH
wolves.co.uk,0.0,3,HIGH
wolverineswire.usatoday.com,0.0,1,HIGH
cato.org,0.0,1,HIGH
catholicsun.org,0.0,1,HIGH
cathlabdigest.com,0.0,1,HIGH
ceoworld.biz,0.0,1,HIGH
centralmaine.com,0.0,1,HIGH
centraljersey.com,0.0,1,HIGH
tamilguardian.com,0.0,1,HIGH
talkingpointsmemo.com,0.0,3,HIGH
talkinginfluence.com,0.0,1,HIGH
talkingchop.com,0.0,12,HIGH
talkesport.com,0.0,1,HIGH
talkchelsea.net,0.0,1,HIGH
talkbusiness.net,0.0,1,HIGH
carwow.co.uk,0.0,1,HIGH
cartrade.com,0.0,1,HIGH
cartilagefreecaptain.sbnation.com,0.0,2,HIGH
talkandroid.com,0.0,1,HIGH
tech.economictimes.indiatimes.com,0.0,1,HIGH
tech.africa,0.0,1,HIGH
tech-ish.com,0.0,8,HIGH
teamtalk.com,0.0,155,HIGH
centerforbiosimilars.com,0.0,1,HIGH
celiac.com,0.0,1,HIGH
celebrityaccess.com,0.0,1,HIGH
celebrity.nine.com.au,0.0,84,HIGH
cecildaily.com,0.0,2,HIGH
cdispatch.com,0.0,1,HIGH
cdapress.com,0.0,1,HIGH
zizonline.com,0.0,1,HIGH
cbsaustin.com,0.0,1,HIGH
chathamvoice.com,0.0,1,HIGH
cbronline.com,0.0,3,HIGH
presspublications.com,0.0,1,HIGH
